#FEDEM	R8.1.5 (build 4) 28 Mar 2026 11:44:27
#PARENT	C:\Users\knutm\Fedem-src\fedem-solvers\solverTests\TimeDomain\AngleSensor\Beams.fmm
#FILE 	..\..\exported_curves.asc
#USER 	knutm
#DATE 	Sat Apr  4 07:24:05 2026
#
#DESCRIPTION	Function__1___Value_vs_Time
0.00000000e+00	0.00000000e+00
1.00000000e-02	-5.39129760e-05
2.00000000e-02	-2.54831713e-04
3.00000000e-02	-6.46380300e-04
4.00000000e-02	-1.23341091e-03
5.00000000e-02	-2.01643119e-03
6.00000000e-02	-2.99542118e-03
7.00000000e-02	-4.17064829e-03
8.00000000e-02	-5.54184662e-03
9.00000000e-02	-7.10929977e-03
1.00000000e-01	-8.87274835e-03
1.10000000e-01	-1.08323460e-02
1.20000000e-01	-1.29879396e-02
1.30000000e-01	-1.53395077e-02
1.40000000e-01	-1.78869870e-02
1.50000000e-01	-2.06302162e-02
1.60000000e-01	-2.35691424e-02
1.70000000e-01	-2.67035272e-02
1.80000000e-01	-3.00332494e-02
1.90000000e-01	-3.35580185e-02
2.00000000e-01	-3.72776054e-02
2.10000000e-01	-4.11916636e-02
2.20000000e-01	-4.52998243e-02
2.30000000e-01	-4.96016666e-02
2.40000000e-01	-5.40966801e-02
2.50000000e-01	-5.87843172e-02
2.60000000e-01	-6.36639223e-02
2.70000000e-01	-6.87347800e-02
2.80000000e-01	-7.39960819e-02
2.90000000e-01	-7.94469267e-02
3.00000000e-01	-8.50863010e-02
3.10000000e-01	-9.09130871e-02
3.20000000e-01	-9.69260558e-02
3.30000000e-01	-1.03123851e-01
3.40000000e-01	-1.09504990e-01
3.50000000e-01	-1.16067842e-01
3.60000000e-01	-1.22810639e-01
3.70000000e-01	-1.29731461e-01
3.80000000e-01	-1.36828214e-01
3.90000000e-01	-1.44098654e-01
4.00000000e-01	-1.51540339e-01
4.10000000e-01	-1.59150675e-01
4.20000000e-01	-1.66926831e-01
4.30000000e-01	-1.74865812e-01
4.40000000e-01	-1.82964429e-01
4.50000000e-01	-1.91219226e-01
4.60000000e-01	-1.99626610e-01
4.70000000e-01	-2.08182678e-01
4.80000000e-01	-2.16883361e-01
4.90000000e-01	-2.25724325e-01
5.00000000e-01	-2.34700993e-01
5.10000000e-01	-2.43808568e-01
5.20000000e-01	-2.53041983e-01
5.30000000e-01	-2.62395948e-01
5.40000000e-01	-2.71864861e-01
5.50000000e-01	-2.81442910e-01
5.60000000e-01	-2.91124016e-01
5.70000000e-01	-3.00901860e-01
5.80000000e-01	-3.10769856e-01
5.90000000e-01	-3.20721149e-01
6.00000000e-01	-3.30748618e-01
6.10000000e-01	-3.40844929e-01
6.20000000e-01	-3.51002514e-01
6.30000000e-01	-3.61213475e-01
6.40000000e-01	-3.71469826e-01
6.50000000e-01	-3.81763190e-01
6.60000000e-01	-3.92085105e-01
6.70000000e-01	-4.02426839e-01
6.80000000e-01	-4.12779480e-01
6.90000000e-01	-4.23133880e-01
7.00000000e-01	-4.33480769e-01
7.10000000e-01	-4.43810701e-01
7.20000000e-01	-4.54114079e-01
7.30000000e-01	-4.64381188e-01
7.40000000e-01	-4.74602133e-01
7.50000000e-01	-4.84766990e-01
7.60000000e-01	-4.94865716e-01
7.70000000e-01	-5.04888237e-01
7.80000000e-01	-5.14824331e-01
7.90000000e-01	-5.24663866e-01
8.00000000e-01	-5.34396708e-01
8.10000000e-01	-5.44012606e-01
8.20000000e-01	-5.53501427e-01
8.30000000e-01	-5.62853098e-01
8.40000000e-01	-5.72057605e-01
8.50000000e-01	-5.81104994e-01
8.60000000e-01	-5.89985430e-01
8.70000000e-01	-5.98689318e-01
8.80000000e-01	-6.07207060e-01
8.90000000e-01	-6.15529299e-01
9.00000000e-01	-6.23646855e-01
9.10000000e-01	-6.31550789e-01
9.20000000e-01	-6.39232397e-01
