#FEDEM	R7.2.2 16 feb 2018 12:26:37
#PARENT	D:\Src\ftKernel.git\solverTests\CamJoint\CamWithDamping.fmm
#FILE 	D:\Src\ftKernel.git\solverTests\CamJoint\CamWithDamping.asc
#USER 	kmo
#DATE 	Fri Sep 21 17:01:20 2018
#
#DESCRIPTION	Energy_check-sum	Energy_loss	Strain_energy	Kinetic_energy	Potential_energy	Cam_joint__1___Tx_spring__Force_value_vs_Time	Cam_joint__1___Tx_damper__Force_value_vs_Time
0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00
1.00000000e-02	-1.21404938e-01	3.31004150e-04	0.00000000e+00	1.39601260e-01	-2.61337191e-01	0.00000000e+00	-3.62363839e+00
2.00000000e-02	-1.66523680e-01	4.96593909e-03	0.00000000e+00	1.06512880e+00	-1.23661840e+00	0.00000000e+00	-9.99107647e+00
3.00000000e-02	-1.75241932e-01	2.26092692e-02	0.00000000e+00	2.94507480e+00	-3.14292598e+00	0.00000000e+00	-1.65745945e+01
4.00000000e-02	-1.76403984e-01	6.20023273e-02	0.00000000e+00	5.75959730e+00	-5.99800396e+00	0.00000000e+00	-2.31209526e+01
5.00000000e-02	-1.76370621e-01	1.31503522e-01	0.00000000e+00	9.49178314e+00	-9.79965782e+00	0.00000000e+00	-2.96054058e+01
6.00000000e-02	-1.76136568e-01	2.39190355e-01	0.00000000e+00	1.41284075e+01	-1.45437346e+01	0.00000000e+00	-3.60261536e+01
7.00000000e-02	-1.75838366e-01	3.92892092e-01	0.00000000e+00	1.96571922e+01	-2.02259235e+01	0.00000000e+00	-4.23836937e+01
8.00000000e-02	-1.75494522e-01	6.00200295e-01	0.00000000e+00	2.60662384e+01	-2.68419342e+01	0.00000000e+00	-4.86787529e+01
9.00000000e-02	-1.75108433e-01	8.68475556e-01	0.00000000e+00	3.33439331e+01	-3.43875198e+01	0.00000000e+00	-5.49120712e+01
1.00000000e-01	-1.74681634e-01	1.20485353e+00	0.00000000e+00	4.14789314e+01	-4.28584671e+01	0.00000000e+00	-6.10843849e+01
1.10000000e-01	-1.74215451e-01	1.61625099e+00	0.00000000e+00	5.04601479e+01	-5.22506142e+01	0.00000000e+00	-6.71964111e+01
1.20000000e-01	-1.73711091e-01	2.10937119e+00	0.00000000e+00	6.02767448e+01	-6.25598259e+01	0.00000000e+00	-7.32488861e+01
1.30000000e-01	-1.73169777e-01	2.69070983e+00	0.00000000e+00	7.09181442e+01	-7.37820206e+01	0.00000000e+00	-7.92425079e+01
1.40000000e-01	-1.72592670e-01	3.36655998e+00	0.00000000e+00	8.23739929e+01	-8.59131470e+01	0.00000000e+00	-8.51779861e+01
1.50000000e-01	-1.71980903e-01	4.14301825e+00	0.00000000e+00	9.46341934e+01	-9.89491882e+01	0.00000000e+00	-9.10560226e+01
1.60000000e-01	-1.71335578e-01	5.02598858e+00	0.00000000e+00	1.07688858e+02	-1.12886177e+02	0.00000000e+00	-9.68773117e+01
1.70000000e-01	-1.70657754e-01	6.02118969e+00	0.00000000e+00	1.21528328e+02	-1.27720177e+02	0.00000000e+00	-1.02642525e+02
1.80000000e-01	-1.69948488e-01	7.13415718e+00	0.00000000e+00	1.36143173e+02	-1.43447281e+02	0.00000000e+00	-1.08352348e+02
1.90000000e-01	-1.69208780e-01	8.37025070e+00	0.00000000e+00	1.51524185e+02	-1.60063644e+02	0.00000000e+00	-1.14007462e+02
2.00000000e-01	-1.68439612e-01	9.73465729e+00	0.00000000e+00	1.67662308e+02	-1.77565414e+02	0.00000000e+00	-1.19608505e+02
2.10000000e-01	-1.67641953e-01	1.12323971e+01	0.00000000e+00	1.84548767e+02	-1.95948807e+02	0.00000000e+00	-1.25156158e+02
2.20000000e-01	-2.16650560e-01	1.28678246e+01	2.91740696e-04	2.02123978e+02	-2.15208740e+02	-7.26221085e+00	-1.30612061e+02
2.30000000e-01	-6.54515362e+00	1.39878836e+01	5.19840775e+01	1.60958542e+02	-2.33475662e+02	-1.01923906e+04	-8.12820206e+01
2.40000000e-01	-5.62772226e+00	1.40677443e+01	8.47258224e+01	1.42588745e+02	-2.47010025e+02	-1.30141582e+04	2.46783848e+01
2.50000000e-01	-8.46467686e+00	1.45167055e+01	2.00185165e+01	2.11618683e+02	-2.54618576e+02	-6.32089404e+03	1.09474640e+02
2.60000000e-01	1.03995924e+01	1.59905739e+01	0.00000000e+00	2.53464188e+02	-2.59055176e+02	0.00000000e+00	1.33488281e+02
2.70000000e-01	1.46132498e+01	1.77077026e+01	0.00000000e+00	2.60244995e+02	-2.63339447e+02	0.00000000e+00	1.28605591e+02
2.80000000e-01	1.50152693e+01	1.92638855e+01	0.00000000e+00	2.64303436e+02	-2.68552063e+02	0.00000000e+00	1.20889595e+02
2.90000000e-01	1.50521631e+01	2.06310043e+01	0.00000000e+00	2.69217834e+02	-2.74796692e+02	0.00000000e+00	1.12957870e+02
3.00000000e-01	1.50547218e+01	2.18194427e+01	0.00000000e+00	2.75314178e+02	-2.82078918e+02	0.00000000e+00	1.05072601e+02
3.10000000e-01	1.50541334e+01	2.28429031e+01	0.00000000e+00	2.82605774e+02	-2.90394531e+02	0.00000000e+00	9.72593307e+01
3.20000000e-01	1.50533228e+01	2.37150688e+01	0.00000000e+00	2.91076630e+02	-2.99738373e+02	0.00000000e+00	8.95198517e+01
3.30000000e-01	1.50525599e+01	2.44492950e+01	0.00000000e+00	3.00708496e+02	-3.10105225e+02	0.00000000e+00	8.18535690e+01
3.40000000e-01	1.50518684e+01	2.50585823e+01	0.00000000e+00	3.11483185e+02	-3.21489899e+02	0.00000000e+00	7.42596588e+01
3.50000000e-01	1.50512486e+01	2.55555897e+01	0.00000000e+00	3.23382935e+02	-3.33887268e+02	0.00000000e+00	6.67372971e+01
3.60000000e-01	1.50506992e+01	2.59526367e+01	0.00000000e+00	3.36390350e+02	-3.47292267e+02	0.00000000e+00	5.92856407e+01
3.70000000e-01	1.50502176e+01	2.62617168e+01	0.00000000e+00	3.50488342e+02	-3.61699860e+02	0.00000000e+00	5.19038734e+01
3.80000000e-01	1.50498028e+01	2.64945030e+01	0.00000000e+00	3.65660309e+02	-3.77105011e+02	0.00000000e+00	4.45911827e+01
3.90000000e-01	1.50494528e+01	2.66623516e+01	0.00000000e+00	3.81889923e+02	-3.93502808e+02	0.00000000e+00	3.73467560e+01
4.00000000e-01	1.50491657e+01	2.67763138e+01	0.00000000e+00	3.99161194e+02	-4.10888336e+02	0.00000000e+00	3.01697979e+01
4.10000000e-01	1.50489397e+01	2.68471508e+01	0.00000000e+00	4.17458557e+02	-4.29256775e+02	0.00000000e+00	2.30595207e+01
4.20000000e-01	1.50487728e+01	2.68853226e+01	0.00000000e+00	4.36766693e+02	-4.48603241e+02	0.00000000e+00	1.60151424e+01
4.30000000e-01	1.50486641e+01	2.69010124e+01	0.00000000e+00	4.57070648e+02	-4.68923004e+02	0.00000000e+00	9.03588867e+00
4.40000000e-01	1.50486126e+01	2.69041233e+01	0.00000000e+00	4.78355804e+02	-4.90211334e+02	0.00000000e+00	2.12099576e+00
4.50000000e-01	1.50486155e+01	2.69042950e+01	0.00000000e+00	5.00607819e+02	-5.12463501e+02	0.00000000e+00	-4.73029470e+00
4.60000000e-01	1.50486717e+01	2.69108944e+01	0.00000000e+00	5.23812683e+02	-5.35674927e+02	0.00000000e+00	-1.15187321e+01
4.70000000e-01	1.50487795e+01	2.69330406e+01	0.00000000e+00	5.47956665e+02	-5.59840881e+02	0.00000000e+00	-1.82450600e+01
4.80000000e-01	1.50489388e+01	2.69795990e+01	0.00000000e+00	5.73026306e+02	-5.84956970e+02	0.00000000e+00	-2.49100094e+01
4.90000000e-01	1.50491467e+01	2.70591888e+01	0.00000000e+00	5.99008423e+02	-6.11018494e+02	0.00000000e+00	-3.15143108e+01
5.00000000e-01	1.50494022e+01	2.71801968e+01	0.00000000e+00	6.25890259e+02	-6.38021057e+02	0.00000000e+00	-3.80586815e+01
5.10000000e-01	1.50497046e+01	2.73507729e+01	0.00000000e+00	6.53659119e+02	-6.65960144e+02	0.00000000e+00	-4.45438309e+01
5.20000000e-01	1.50500526e+01	2.75788441e+01	0.00000000e+00	6.82302612e+02	-6.94831421e+02	0.00000000e+00	-5.09704666e+01
5.30000000e-01	1.50504436e+01	2.78721161e+01	0.00000000e+00	7.11808777e+02	-7.24630432e+02	0.00000000e+00	-5.73392868e+01
5.40000000e-01	1.50508785e+01	2.82380772e+01	0.00000000e+00	7.42165649e+02	-7.55352844e+02	0.00000000e+00	-6.36509781e+01
5.50000000e-01	1.50513554e+01	2.86840115e+01	0.00000000e+00	7.73361755e+02	-7.86994385e+02	0.00000000e+00	-6.99062195e+01
5.60000000e-01	1.50518723e+01	2.92169933e+01	0.00000000e+00	8.05385681e+02	-8.19550781e+02	0.00000000e+00	-7.61056976e+01
5.70000000e-01	1.50524292e+01	2.98439007e+01	0.00000000e+00	8.38226318e+02	-8.53017761e+02	0.00000000e+00	-8.22500687e+01
5.80000000e-01	1.50530243e+01	3.05714188e+01	0.00000000e+00	8.71872742e+02	-8.87391174e+02	0.00000000e+00	-8.83400040e+01
5.90000000e-01	1.50536575e+01	3.14060421e+01	0.00000000e+00	9.06314392e+02	-9.22666748e+02	0.00000000e+00	-9.43761520e+01
6.00000000e-01	1.50543261e+01	3.23540802e+01	0.00000000e+00	9.41540710e+02	-9.58840454e+02	0.00000000e+00	-1.00359161e+02
6.10000000e-01	1.50550308e+01	3.34216690e+01	0.00000000e+00	9.77541565e+02	-9.95908203e+02	0.00000000e+00	-1.06289665e+02
6.20000000e-01	1.50557699e+01	3.46147575e+01	0.00000000e+00	1.01430682e+03	-1.03386584e+03	0.00000000e+00	-1.12168312e+02
6.30000000e-01	1.50565424e+01	3.59391365e+01	0.00000000e+00	1.05182678e+03	-1.07270935e+03	0.00000000e+00	-1.17995720e+02
6.40000000e-01	1.50573473e+01	3.74004211e+01	0.00000000e+00	1.09009167e+03	-1.11243469e+03	0.00000000e+00	-1.23772514e+02
6.50000000e-01	3.00622153e+00	3.84838905e+01	3.49907036e+01	1.08102344e+03	-1.15149182e+03	-8.36050684e+03	-8.45950546e+01
6.60000000e-01	3.77464986e+00	3.86267319e+01	7.36687317e+01	1.07798669e+03	-1.18650745e+03	-1.21348311e+04	8.90418243e+00
6.70000000e-01	1.77353299e+00	3.88864784e+01	2.48477268e+01	1.15398877e+03	-1.21594946e+03	-7.04358691e+03	9.31319809e+01
6.80000000e-01	1.37198944e+01	4.00162163e+01	0.00000000e+00	1.21579980e+03	-1.24209607e+03	0.00000000e+00	1.19615379e+02
6.90000000e-01	1.77994328e+01	4.13908501e+01	0.00000000e+00	1.24437988e+03	-1.26797131e+03	0.00000000e+00	1.14890312e+02
7.00000000e-01	1.81871166e+01	4.26227875e+01	0.00000000e+00	1.27031970e+03	-1.29475537e+03	0.00000000e+00	1.07096100e+02
7.10000000e-01	1.82224426e+01	4.36852951e+01	0.00000000e+00	1.29709900e+03	-1.32256189e+03	0.00000000e+00	9.90589447e+01
7.20000000e-01	1.82248726e+01	4.45889511e+01	0.00000000e+00	1.32503320e+03	-1.35139734e+03	0.00000000e+00	9.10620193e+01
7.30000000e-01	1.82243195e+01	4.53475571e+01	0.00000000e+00	1.35413416e+03	-1.38125745e+03	0.00000000e+00	8.31330185e+01
7.40000000e-01	1.82235622e+01	4.59748840e+01	0.00000000e+00	1.38438562e+03	-1.41213696e+03	0.00000000e+00	7.52740021e+01
7.50000000e-01	1.82228546e+01	4.64843903e+01	0.00000000e+00	1.41576892e+03	-1.44403040e+03	0.00000000e+00	6.74844360e+01
7.60000000e-01	1.82222214e+01	4.68891983e+01	0.00000000e+00	1.44826563e+03	-1.47693262e+03	0.00000000e+00	5.97635460e+01
7.70000000e-01	1.82216606e+01	4.72020988e+01	0.00000000e+00	1.48185791e+03	-1.51083826e+03	0.00000000e+00	5.21105461e+01
7.80000000e-01	1.82211723e+01	4.74355621e+01	0.00000000e+00	1.51652771e+03	-1.54574219e+03	0.00000000e+00	4.45246506e+01
7.90000000e-01	1.82207527e+01	4.76017418e+01	0.00000000e+00	1.55225806e+03	-1.58163904e+03	0.00000000e+00	3.70050774e+01
8.00000000e-01	1.82204018e+01	4.77124901e+01	0.00000000e+00	1.58903162e+03	-1.61852368e+03	0.00000000e+00	2.95510616e+01
8.10000000e-01	1.82201176e+01	4.77793465e+01	0.00000000e+00	1.62683191e+03	-1.65639111e+03	0.00000000e+00	2.21618385e+01
8.20000000e-01	1.82198982e+01	4.78135719e+01	0.00000000e+00	1.66564258e+03	-1.69523621e+03	0.00000000e+00	1.48366575e+01
8.30000000e-01	1.82197437e+01	4.78261299e+01	0.00000000e+00	1.70544763e+03	-1.73505396e+03	0.00000000e+00	7.57477045e+00
8.40000000e-01	1.82196503e+01	4.78277092e+01	0.00000000e+00	1.74623132e+03	-1.77583936e+03	0.00000000e+00	3.75441670e-01
8.50000000e-01	1.82196159e+01	4.78287277e+01	0.00000000e+00	1.78797839e+03	-1.81758752e+03	0.00000000e+00	-6.76205873e+00
