#FEDEM	R7.2.1  6 jan 2017 11:53:51
#PARENT	D:\Src\ftKernel.git\solverTests\CamJoint\PearCamWithFriction.fmm
#FILE 	D:\Src\ftKernel.git\solverTests\CamJoint\SystemEnergy_R253.asc
#USER 	kmo
#DATE 	Wed Sep 19 08:52:44 2018
#
#DESCRIPTION	Checksum_ref	Friction_loss_ref	Input_ref	Loss_ref	Strain_ref
0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00
1.00000000e-03	2.13496534e-09	5.84946675e-37	1.58293608e-09	5.28593333e-10	1.75892428e-09
2.00000000e-03	1.57904272e-09	4.04157022e-36	3.79374456e-09	8.33020264e-10	1.47007447e-09
3.00000000e-03	2.50124172e-09	1.15923582e-35	5.72677493e-09	1.05945126e-09	1.33761779e-09
4.00000000e-03	1.70595575e-09	2.88178013e-35	1.12741617e-08	1.20799026e-09	1.23469976e-09
5.00000000e-03	2.15160264e-09	6.71464526e-35	1.55063665e-08	1.27801551e-09	1.15427350e-09
6.00000000e-03	1.97027280e-09	1.61896195e-34	2.17666706e-08	1.36442178e-09	1.12598404e-09
7.00000000e-03	2.11443602e-09	3.91253484e-34	2.93574695e-08	1.40036003e-09	1.09428963e-09
8.00000000e-03	1.81506866e-09	9.25755476e-34	3.67852842e-08	1.44529072e-09	1.09388206e-09
9.00000000e-03	2.42630355e-09	2.08612059e-33	4.68845655e-08	1.46534084e-09	1.08730031e-09
1.00000000e-02	1.47284166e-09	4.79882742e-33	5.67901713e-08	1.47769560e-09	1.07242193e-09
1.10000000e-02	2.64100931e-09	1.11209700e-32	6.77571627e-08	1.48937205e-09	1.07695796e-09
1.20000000e-02	1.44430686e-09	2.66513877e-32	8.06429935e-08	1.49524231e-09	1.07389274e-09
1.30000000e-02	2.54513587e-09	6.50683220e-32	9.33021455e-08	1.49969382e-09	1.07393122e-09
1.40000000e-02	1.57406410e-09	1.64937720e-31	1.08137254e-07	1.50285606e-09	1.07628591e-09
1.50000000e-02	2.43329805e-09	4.26102260e-31	1.23083000e-07	1.50497356e-09	1.07674368e-09
1.60000000e-02	1.65684144e-09	1.14117402e-30	1.39753680e-07	1.50650983e-09	1.07859255e-09
1.70000000e-02	2.37070840e-09	3.11235805e-30	1.56850416e-07	1.50764031e-09	1.08016148e-09
1.80000000e-02	1.71415541e-09	8.76617818e-30	1.75521873e-07	1.50846310e-09	1.08150537e-09
1.90000000e-02	2.31441195e-09	2.51279859e-29	1.94678800e-07	1.50912718e-09	1.08305079e-09
2.00000000e-02	1.77354102e-09	7.41120517e-29	2.15367393e-07	1.50966557e-09	1.08438459e-09
2.10000000e-02	2.25853460e-09	2.22295262e-28	2.36605163e-07	1.51013981e-09	1.08569913e-09
2.20000000e-02	1.82865074e-09	6.83900203e-28	2.59289280e-07	1.51057892e-09	1.08700351e-09
2.30000000e-02	2.21148609e-09	2.13815739e-27	2.82617027e-07	1.51100588e-09	1.08825948e-09
2.40000000e-02	1.87459007e-09	6.83791420e-27	3.07300548e-07	1.51143822e-09	1.08954250e-09
2.50000000e-02	2.17439703e-09	2.22067935e-26	3.32708983e-07	1.51188733e-09	1.09085185e-09
2.60000000e-02	1.91270527e-09	7.35970886e-26	3.59402148e-07	1.51236265e-09	1.09221319e-09
2.70000000e-02	2.14552302e-09	2.47522813e-25	3.86883354e-07	1.51287060e-09	1.09365600e-09
2.80000000e-02	1.94468242e-09	8.47831214e-25	4.15592558e-07	1.51341692e-09	1.09519731e-09
2.90000000e-02	2.12382838e-09	2.94499802e-24	4.45141545e-07	1.51400555e-09	1.09686162e-09
3.00000000e-02	1.97157825e-09	1.04006177e-23	4.75871700e-07	1.51464049e-09	1.09867101e-09
3.10000000e-02	2.10855849e-09	3.72235949e-23	5.07483907e-07	1.51532456e-09	1.10064556e-09
3.20000000e-02	1.99446524e-09	1.35252354e-22	5.40239671e-07	1.51606087e-09	1.10280755e-09
3.30000000e-02	2.09888275e-09	4.97697545e-22	5.73910907e-07	1.51685175e-09	1.10517721e-09
3.40000000e-02	2.01444773e-09	1.85700547e-21	6.08696278e-07	1.51769986e-09	1.10777571e-09
3.50000000e-02	2.09402743e-09	7.01249135e-21	6.44423108e-07	1.51860731e-09	1.11062378e-09
3.60000000e-02	2.03251804e-09	2.68221205e-20	6.81241274e-07	1.51957654e-09	1.11374256e-09
3.70000000e-02	2.09340388e-09	1.03765558e-19	7.19020950e-07	1.52060957e-09	1.11715303e-09
3.80000000e-02	2.04954507e-09	4.06229157e-19	7.57874443e-07	1.52170870e-09	1.12087684e-09
3.90000000e-02	2.09655730e-09	1.60756501e-18	7.97704788e-07	1.52287594e-09	1.12493554e-09
4.00000000e-02	2.06624836e-09	6.43236140e-18	8.38595629e-07	1.52411350e-09	1.12935144e-09
4.10000000e-02	2.10314006e-09	2.60019363e-17	8.80474931e-07	1.52542341e-09	1.13414684e-09
4.20000000e-02	2.08329859e-09	1.06202265e-16	9.23404649e-07	1.52680788e-09	1.13934486e-09
4.30000000e-02	2.11296822e-09	4.37988894e-16	9.67331581e-07	1.52826912e-09	1.14496882e-09
4.40000000e-02	2.10122488e-09	1.82393049e-15	1.01230140e-06	1.52981006e-09	1.15104270e-09
4.50000000e-02	2.12588968e-09	6.53245816e-15	1.05827496e-06	1.53143501e-09	1.15759083e-09
4.60000000e-02	2.12053300e-09	1.38301648e-14	1.10528577e-06	1.53314533e-09	1.16463828e-09
4.70000000e-02	2.14189392e-09	2.13290952e-14	1.15330519e-06	1.53494068e-09	1.17221048e-09
4.80000000e-02	2.14162372e-09	2.90536950e-14	1.20235770e-06	1.53682318e-09	1.18033352e-09
4.90000000e-02	2.16099027e-09	3.69623310e-14	1.25242238e-06	1.53879484e-09	1.18903401e-09
5.00000000e-02	2.16492145e-09	4.50814036e-14	1.30351708e-06	1.54085777e-09	1.19833920e-09
