#FEDEM	R7.4  9 Dec 2020 13:12:04
#PARENT	C:\Users\I331884\Fedem-src\solverTests\CamJoint\CamWithDeformDamping.fmm
#FILE 	C:\Users\I331884\Fedem-src\ftKernel\solverTests\CamJoint\slide_damping.asc
#USER 	I331884
#DATE 	Fri Dec 11 11:37:20 2020
#
#DESCRIPTION	Energy_check-sum	Energy_loss	Strain_energy	Kinetic_energy	Potential_energy	Cam_joint__1___Slider_damper__Force_value_vs_Time	Cam_joint__1___Slider_damper__Velocity_vs_Time
0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00
1.00000000e-02	-2.30048612e-01	-2.77393468e-04	1.59461570e+00	9.86561418e-01	-6.07935369e-01	-1.78584194e+00	-1.78584188e-01
2.00000000e-02	5.18575683e-02	-5.68087585e-03	1.56759214e+01	1.75244198e+01	-3.61797237e+00	-3.81342983e+00	-3.81342977e-01
3.00000000e-02	3.29141468e-01	-1.93924624e-02	3.45569344e+01	9.23952713e+01	-1.13497553e+01	-2.71420360e+00	-2.71420360e-01
4.00000000e-02	-2.02493131e-01	3.03784938e-04	3.06613941e+01	2.48817062e+02	-2.52926655e+01	4.82588470e-01	4.82588448e-02
5.00000000e-02	-7.26919651e-01	1.18009493e-01	1.03269844e+01	4.25314850e+02	-4.51515388e+01	3.28622317e+00	3.28622311e-01
6.00000000e-02	9.96596992e-01	3.30912709e-01	4.97185618e-01	5.35432251e+02	-6.90985565e+01	3.54748201e+00	3.54748219e-01
7.00000000e-02	5.74038219e+00	5.62787592e-01	5.03355777e-03	5.80803894e+02	-9.51827164e+01	1.09751666e+00	1.09751664e-01
8.00000000e-02	1.16125021e+01	7.54762888e-01	2.09123993e+00	6.47684265e+02	-1.22813614e+02	-2.14544630e+00	-2.14544624e-01
9.00000000e-02	1.56729031e+01	9.17314529e-01	1.63598213e+01	8.28602783e+02	-1.53178909e+02	-3.67499757e+00	-3.67499739e-01
1.00000000e-01	1.57239647e+01	1.12822843e+00	3.24080200e+01	1.16551440e+03	-1.88287094e+02	-2.33073211e+00	-2.33073205e-01
1.10000000e-01	1.22226467e+01	1.50993264e+00	2.61088200e+01	1.59766919e+03	-2.29387939e+02	8.24663401e-01	8.24663341e-02
1.20000000e-01	9.49571133e+00	2.13951039e+00	7.52069330e+00	1.96777417e+03	-2.75992523e+02	3.34785485e+00	3.34785491e-01
1.30000000e-01	1.25756283e+01	2.95146704e+00	1.61867991e-01	2.16130957e+03	-3.26239227e+02	3.30934453e+00	3.30934465e-01
1.40000000e-01	2.17723389e+01	3.78740692e+00	2.04431843e-02	2.23373438e+03	-3.78308044e+02	7.71181762e-01	7.71181807e-02
