#DESCRIPTION	F1	F2
0.01	99998.33334166664	-1.562418621486872
0.02	199986.6669333308	-6.248698025168586
0.03	299955.0020249566	-14.05590943896251
0.04	399893.3418663416	-24.9791736098709
0.05	499791.6927067833	-39.01166385335497
0.06	599640.064794446	-56.14461031978879
0.07	699428.4733753277	-76.36730547533277
0.08	799146.9396917269	-99.66711079379186
0.09	898785.4919801104	-126.0294646552834
0.10	998334.1664682815	-155.4378914467763
0.11	1097783.008371748	-187.8740118588101
0.12	1197122.072889194	-223.3175543719701
0.13	1296341.426196949	-261.7463679259213
0.14	1395431.146442365	-303.1364357631056
0.15	1494381.324735992	-347.4618904384286
0.16	1593182.06614246	-394.6950299855745
0.17	1691823.49066996	-444.8063352298315
0.18	1790295.734258242	-497.7644882366156
0.19	1888588.949765006	-553.536391884159
0.20	1986693.307950612	-612.0871905481362
0.21	2084598.998460995	-673.3802918852938
0.22	2182296.230808693	-737.3773897024715
0.23	2279775.235351884	-804.0384878967294
0.24	2377026.264271346	-873.3219254516083
0.25	2474039.592545229	-945.1844024739104
0.26	2570805.518921551	-1019.581007254721
0.27	2667314.366888312	-1096.465244337766
0.28	2763556.485641138	-1175.789063577558
0.29	2859522.251048355	-1257.502890169174
0.30	2955202.066613395	-1341.555655630895
0.31	3050586.364434435	-1427.894829720343
0.32	3145665.606161178	-1516.466453264173
0.33	3240430.283948684	-1607.215171880801
0.34	3334870.921408144	-1700.08427057509
0.35	3428978.074554514	-1795.015709183375
0.36	3522742.332750899	-1891.950158646677
0.37	3616154.31964962	-1990.827038089437
0.38	3709204.694129827	-2091.584552680582
0.39	3801884.151231614	-2194.159732253293
0.40	3894183.423086505	-2298.488470659301
0.41	3986093.27984423	-2404.505565833152
0.42	4077604.530595702	-2512.144760541365
0.43	4168708.024292108	-2621.338783791056
0.44	4259394.650659996	-2732.019392872114
0.45	4349655.341112303	-2844.117416006669
0.46	4439481.069655198	-2957.562795579214
0.47	4528862.853790684	-3072.28463192032
0.48	4617791.755414829	-3188.211227616632
0.49	4706258.88171158	-3305.270132319414
0.50	4794255.38604203	-3423.388188023657
0.51	4881772.468829075	-3542.491574789455
0.52	4968801.378437367	-3662.505856877063
0.53	5055333.412048469	-3783.35602926681
0.54	5141359.916531132	-3904.966564534793
0.55	5226872.289306592	-4027.261460055064
0.56	5311861.979208834	-4150.164285498796
0.57	5396320.487339693	-4273.598230600745
0.58	5480239.367918735	-4397.486153163167
0.59	5563610.229127837	-4521.750627267192
0.60	5646424.733950354	-4646.313991661485
0.61	5728674.601004813	-4771.098398298013
0.62	5810351.605373051	-4896.025860984538
0.63	5891447.579422695	-5021.018304123441
0.64	5971954.413623921	-5145.997611506445
0.65	6051864.057360396	-5270.885675134681
0.66	6131168.519734338	-5395.60444403367
0.67	6209859.870365597	-5520.075973032618
0.68	6287930.240184686	-5644.222471477625
0.69	6365371.82221968	-5767.966351848303
0.70	6442176.872376911	-5891.230278247462
0.71	6518337.710215366	-6013.937214733512
0.72	6593846.719714731	-6136.010473465434
0.73	6668696.350036979	-6257.373762630181
0.74	6742879.116281451	-6377.951234122565
0.75	6816387.600233342	-6497.667530947871
0.76	6889214.451105513	-6616.447834317517
0.77	6961352.386273568	-6734.217910408364
0.78	7032794.192004101	-6850.904156756435
0.79	7103532.724176078	-6966.433648256065
0.80	7173560.908995228	-7080.734182735711
0.81	7242871.743701425	-7193.734326081973
0.82	7311458.297268959	-7305.363456883566
0.83	7379313.711099627	-7415.551810567426
0.84	7446431.199708593	-7524.230522999288
0.85	7512804.051402927	-7631.331673521525
0.86	7578425.62895277	-7736.788327401355
0.87	7643289.370255051	-7840.534577662866
0.88	7707388.788989693	-7942.505586276729
0.89	7770717.475268238	-8042.637624681861
0.90	7833269.096274834	-8140.868113613695
0.91	7895037.396899505	-8237.135662214192
0.92	7956016.20036366	-8331.380106399121
0.93	8016199.408837772	-8423.542546458653
0.94	8075581.004051143	-8513.56538386777
0.95	8134155.047893737	-8601.392357283459
0.96	8191915.683009983	-8686.968577706226
0.97	8248857.133384501	-8770.240562783938
0.98	8304973.704919705	-8851.156270236537
0.99	8360259.786005205	-8929.665130380787
1.00	8414709.848078964	-9005.718077734668
1.01	8468318.446180152	-9079.267581681719
1.02	8521080.219493629	-9150.26767617611
1.03	8572989.891886033	-9218.673988469938
1.04	8624042.272433383	-9284.443766844737
1.05	8674232.255940169	-9347.535907329922
1.06	8723554.823449863	-9407.91097939143
1.07	8772005.042746816	-9465.531250574515
1.08	8819578.068849476	-9520.360710085306
1.09	8866269.144494873	-9572.365091296388
1.10	8912073.600614354	-9621.511893162318
1.11	8956986.856800476	-9667.770400531728
1.12	9001004.421765052	-9711.111703343291
1.13	9044121.893788259	-9751.508714693571
1.14	9086334.961158833	-9788.936187765452
1.15	9127639.402605211	-9823.370731606583
1.16	9168031.087717669	-9854.790825747952
1.17	9207505.977361357	-9883.176833653493
1.18	9246060.124080203	-9908.511014992269
1.19	9283689.672491666	-9930.777536725605
1.20	9320390.859672263	-9949.962483002228
1.21	9356160.015533859	-9966.053863855206
1.22	9390993.563190676	-9979.041622695306
1.23	9424888.019316975	-9988.917642596023
1.24	9457839.99449539	-9995.675751366398
1.25	9489846.193555862	-9999.311725408434
1.26	9520903.415905157	-9999.82329235671
1.27	9551008.555846922	-9997.210132498538
1.28	9580158.60289225	-9991.473878973766
1.29	9608350.642060727	-9982.618116754124
1.30	9635581.85417193	-9970.648380402732
1.31	9661849.51612734	-9955.572150615177
1.32	9687151.001182653	-9937.398849544325
1.33	9711483.779210446	-9916.139834911777
1.34	9734845.416953193	-9891.808392909672
1.35	9757233.578266591	-9864.419729897232
1.36	9778646.024353163	-9833.990962897304
1.37	9799080.613986142	-9800.541108898766
1.38	9818535.303723598	-9764.091072971523
1.39	9837008.148112766	-9724.663635201532
1.40	9854497.299884602	-9682.283436453981
1.41	9871001.010138504	-9636.976962973551
1.42	9886517.628517197	-9588.77252983138
1.43	9901045.603371777	-9537.700263229057
1.44	9914583.481916863	-9483.792081670737
1.45	9927129.910375886	-9427.081676015103
1.46	9938683.634116448	-9367.604488419689
1.47	9949243.49777581	-9305.397690190677
1.48	9958808.44537640	-9240.50015855204
1.49	9967377.520431435	-9172.952452348549
1.50	9974949.866040545	-9102.796786697805
1.51	9981524.724975482	-9030.077006607173
1.52	9987101.439755829	-8954.838559572085
1.53	9991679.45271476	-8877.128467172812
1.54	9995258.306054791	-8796.99529568754
1.55	9997837.641893569	-8714.489125739994
1.56	9999417.202299664	-8629.6615210007
1.57	9999996.829318346	-8542.565495961364
1.58	9999576.464987401	-8453.255482802537
1.59	9998156.151342908	-8361.787297375278
1.60	9995736.030415051	-8268.218104318059
1.61	9992316.344213905	-8172.606381330732
1.62	9987897.434705239	-8075.011882627869
1.63	9982479.743776325	-7975.495601594324
1.64	9976063.813191736	-7874.119732666342
1.65	9968650.284539189	-7770.947632462084
1.66	9960239.899165368	-7666.043780185772
1.67	9950833.498101803	-7559.473737330319
1.68	9940432.021980759	-7451.304106703496
1.69	9929036.510941185	-7341.602490803382
1.70	9916648.104524685	-7230.437449568964
1.71	9903268.041561581	-7117.878457532438
1.72	9888897.660047015	-7003.995860399878
1.73	9873538.397007164	-6888.860831087444
1.74	9857191.788355535	-6772.54532524066
1.75	9839859.46873937	-6655.122036264437
1.76	9821543.171376185	-6536.664349892097
1.77	9802244.727880456	-6417.246298321662
1.78	9781966.068080446	-6296.942513948131
1.79	9760709.219825242	-6175.828182720687
1.80	9738476.308781952	-6053.978997153898
1.81	9715269.558223153	-5931.471109022386
1.82	9691091.288804563	-5808.381081768433
1.83	9665943.918332975	-5684.785842652309
1.84	9639829.961524481	-5560.76263467527
1.85	9612752.02975300	-5436.388968305175
1.86	9584712.830789141	-5311.742573034959
