#######################
#Submodel interface points and related nodes for subelement: 02_01_Submodel_Course
#######################
#Interface Point: 1 (Nodes in group: 62)
#######################
#IntPt, NodeID,   X,   Y,   Z
#######################
1,     657,    -.05,   1.0-2,     .25
1,     658,    -.05,    -.01,     .25
1,     659,    -.05,  -1.0-2,     .55
1,     660,    -.05,     .01,     .55
1,     685,-.044142,-.044142,     .25
1,     686,-.044142,-.044142,     .55
1,     687,-.044142,.0441421,     .25
1,     688,-.044142,.0441421,     .55
1,     737,  -1.0-2,    -.05,     .25
1,     738,     .01,    -.05,     .25
1,     739,   1.0-2,    -.05,     .55
1,     740,    -.01,    -.05,     .55
1,     741,   1.0-2,     .05,     .25
1,     742,    -.01,     .05,     .25
1,     743,  -1.0-2,     .05,     .55
1,     744,     .01,     .05,     .55
1,     793,.0441421,-.044142,     .25
1,     794,.0441421,-.044142,     .55
1,     795,.0441421,.0441421,     .25
1,     796,.0441421,.0441421,     .55
1,     821,     .05,  -1.0-2,     .25
1,     822,     .05,     .01,     .25
1,     823,     .05,   1.0-2,     .55
1,     824,     .05,    -.01,     .55
1,     849,     .15,-.044142,.3558579
1,     850,     .15,-.044142,.4441421
1,     851,     .15,   1.0-2,     .35
1,     852,     .15,    -.01,     .35
1,     853,     .15,  -1.0-2,     .45
1,     854,     .15,     .01,     .45
1,     855,     .15,.0441421,.3558579
1,     856,     .15,.0441421,.4441421
1,    1187,     .15,    -.05,    .385
1,    1188,     .15,    -.05,    .415
1,    1189,     .15,     .05,    .385
1,    1190,     .15,     .05,    .415
1,    1269,    -.05,    -.03,     .25
1,    1270,    -.05,    -.03,     .55
1,    1271,    -.05,     .03,     .25
1,    1272,    -.05,     .03,     .55
1,    1273,    -.03,    -.05,     .25
1,    1274,    -.03,    -.05,     .55
1,    1275,    -.03,     .05,     .25
1,    1276,    -.03,     .05,     .55
1,    1277,     .03,    -.05,     .25
1,    1278,     .03,    -.05,     .55
1,    1279,     .03,     .05,     .25
1,    1280,     .03,     .05,     .55
1,    1281,     .05,    -.03,     .25
1,    1282,     .05,    -.03,     .55
1,    1283,     .05,     .03,     .25
1,    1284,     .05,     .03,     .55
1,    1285,     .15,    -.05,     .37
1,    1286,     .15,    -.05,     .43
1,    1287,     .15,    -.03,     .35
1,    1288,     .15,    -.03,     .45
1,    1289,     .15,     .03,     .35
1,    1290,     .15,     .03,     .45
1,    1291,     .15,     .05,     .37
1,    1292,     .15,     .05,     .43
1,    1359,     .15,    -.05,      .4
1,    1360,     .15,     .05,      .4
#FINISHED_INTERFACE_PT
