#######################
#Submodel interface points and related nodes for subelement: 02_02_Submodel_Course
#######################
#Interface Point: 1 (Nodes in group: 294)
#######################
#IntPt, NodeID,   X,   Y,   Z
#######################
1,   27397,    -.05,    .026,     .25
1,   27398,    -.05,    .022,     .25
1,   27399,    -.05,    .018,     .25
1,   27400,    -.05,    .014,     .25
1,   27401,    -.05,     .01,     .25
1,   27402,    -.05,   6.0-3,     .25
1,   27403,    -.05,   2.0-3,     .25
1,   27404,    -.05,  -2.0-3,     .25
1,   27405,    -.05,  -6.0-3,     .25
1,   27406,    -.05,    -.01,     .25
1,   27407,    -.05,   -.014,     .25
1,   27408,    -.05,   -.018,     .25
1,   27409,    -.05,   -.022,     .25
1,   27410,    -.05,   -.026,     .25
1,   27411,    -.05,   -.026,     .55
1,   27412,    -.05,   -.022,     .55
1,   27413,    -.05,   -.018,     .55
1,   27414,    -.05,   -.014,     .55
1,   27415,    -.05,    -.01,     .55
1,   27416,    -.05,  -6.0-3,     .55
1,   27417,    -.05,  -2.0-3,     .55
1,   27418,    -.05,   2.0-3,     .55
1,   27419,    -.05,   6.0-3,     .55
1,   27420,    -.05,     .01,     .55
1,   27421,    -.05,    .014,     .55
1,   27422,    -.05,    .018,     .55
1,   27423,    -.05,    .022,     .55
1,   27424,    -.05,    .026,     .55
1,   27549,-.049616,-.033902,     .25
1,   27550,-.048478,-.037654,     .25
1,   27551,-.046629,-.041111,     .25
1,   27552,-.044142,-.044142,     .25
1,   27553,-.041111,-.046629,     .25
1,   27554,-.037654,-.048478,     .25
1,   27555,-.033902,-.049616,     .25
1,   27556,-.033902,-.049616,     .55
1,   27557,-.037654,-.048478,     .55
1,   27558,-.041111,-.046629,     .55
1,   27559,-.044142,-.044142,     .55
1,   27560,-.046629,-.041111,     .55
1,   27561,-.048478,-.037654,     .55
1,   27562,-.049616,-.033902,     .55
1,   27563,-.033902,.0496157,     .25
1,   27564,-.037654,.0484776,     .25
1,   27565,-.041111,.0466294,     .25
1,   27566,-.044142,.0441421,     .25
1,   27567,-.046629,.0411114,     .25
1,   27568,-.048478,.0376537,     .25
1,   27569,-.049616,.0339018,     .25
1,   27570,-.049616,.0339018,     .55
1,   27571,-.048478,.0376537,     .55
1,   27572,-.046629,.0411114,     .55
1,   27573,-.044142,.0441421,     .55
1,   27574,-.041111,.0466294,     .55
1,   27575,-.037654,.0484776,     .55
1,   27576,-.033902,.0496157,     .55
1,   27825,   -.026,    -.05,     .25
1,   27826,   -.022,    -.05,     .25
1,   27827,   -.018,    -.05,     .25
1,   27828,   -.014,    -.05,     .25
1,   27829,    -.01,    -.05,     .25
1,   27830,  -6.0-3,    -.05,     .25
1,   27831,  -2.0-3,    -.05,     .25
1,   27832,   2.0-3,    -.05,     .25
1,   27833,   6.0-3,    -.05,     .25
1,   27834,     .01,    -.05,     .25
1,   27835,    .014,    -.05,     .25
1,   27836,    .018,    -.05,     .25
1,   27837,    .022,    -.05,     .25
1,   27838,    .026,    -.05,     .25
1,   27839,    .026,    -.05,     .55
1,   27840,    .022,    -.05,     .55
1,   27841,    .018,    -.05,     .55
1,   27842,    .014,    -.05,     .55
1,   27843,     .01,    -.05,     .55
1,   27844,   6.0-3,    -.05,     .55
1,   27845,   2.0-3,    -.05,     .55
1,   27846,  -2.0-3,    -.05,     .55
1,   27847,  -6.0-3,    -.05,     .55
1,   27848,    -.01,    -.05,     .55
1,   27849,   -.014,    -.05,     .55
1,   27850,   -.018,    -.05,     .55
1,   27851,   -.022,    -.05,     .55
1,   27852,   -.026,    -.05,     .55
1,   27853,    .026,     .05,     .25
1,   27854,    .022,     .05,     .25
